1,Harvard University
3,Massachusetts Institute of Technology
5,University of Michigan
7,Cornell University
9,University of Pennsylvania
11,(2) Johns Hopkins University
13,University of Wisconsin Madison
15,(2) Pennsylvania State University
17,Princeton University
19,University of North Carolina Chapel Hill
21,University of Illinois Urbana Champaign
23,University of Southern California
25,Ohio State University
27,Carnegie Mellon University
29,University of Florida
31,University of California Davis
33,Purdue University
35,Boston University
37,Georgia Institute of Technology
39,Washington University Saint Louis
41,Arizona State University
43,University of Arizona
45,Texas A&M University
47,Vanderbilt University
49,Indiana University Bloomington
51,University of Iowa
53,Virginia Polytechnic Institute and State University
55,University of Massachusetts Amherst
57,City University of New York
59,Iowa State University
61,University of Nebraska Lincoln
63,Oregon State University
65,Case Western Reserve University
67,University of California Riverside
69,University of Tennessee Knoxville
71,Colorado State University
73,Dartmouth College
75,University of California Santa Cruz
77,University of South Florida
79,Washington State University Pullman
81,University of Maryland Baltimore
83,Temple University
85,University of Missouri Columbia
87,Wayne State University
89,University of Houston
91,University of Alabama Birmingham
93,George Mason University
95,Stony Brook University
97,Drexel University
99,Brigham Young University
2,Stanford University
4,University of California Berkeley
6,University of Washington
8,Columbia University New York
10,University of California Los Angeles UCLA
12,University of California San Diego
14,Yale University
16,University of Texas Austin
18,Duke University
20,New York University
22,University of Chicago
24,Northwestern University
26,University of Maryland College Park
28,(2) California Institute of Technology Caltech
30,Michigan State University
32,University of Pittsburgh
34,University of California Irvine
36,University of Colorado Boulder
38,Rutgers The State University of New Jersey
40,University of California San Francisco
42,University of Virginia
44,University of California Santa Barbara
46,University of Utah
48,Emory University
50,North Carolina State University
52,Brown University
54,Tufts University
56,University of Rochester
58,University of Illinois Chicago
60,University of Georgia
62,Rice University
64,University of Delaware
66,University at Buffalo
68,Florida State University
70,University of Kentucky
72,University of Miami
74,University of Connecticut
76,University of Notre Dame
78,Georgetown University
80,University of Kansas
82,University of Oregon
84,University of Cincinnati
86,University of New Mexico
88,M D Anderson Cancer Center University of Texas
90,University of South Carolina
92,University of Oklahoma
94,Indiana University/Purdue University Indianapolis
96,Virginia Commonwealth University
98,Louisiana State University
100,University of Central Florida
